guid,nyu.libraries.collection,dc.title,dc.identifier,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.controlled,dc.description
dataServices001,DataServices,Administration for Children and Families Child Care and Development Fund Data and Statistics,http://www.acf.hhs.gov/programs/ccb/data/index.htm,Education,Child Care,Demograhic Characteristics,,,,Area & Cultural Studies,"Child Care and Development Fund Statistics, Child Care and Development Fund Expenditure Data, and related government programs."
dataServices002,DataServices,ALFRED Archival Federal Reserve Economic Data,http://alfred.stlouisfed.org/,Economics,,,,,,Business & Economics (US),"ALFRED allows you to retrieve vintage versions of economic data that were available on specific dates in history. In general, economic data for past observation periods are revised as more accurate estimates become available. As a result, previous vintages of data can be superseded and may no longer be available from various data sources. Vintage or real time economic data allows academics to reproduce others' research, build more accurate forecasting models, and analyze economic policy decisions using the data available at the time."
dataServices003,DataServices,American FactFinder,http://factfinder2.census.gov/faces/nav/jsf/pages/searchresults.xhtml?refresh=t,Demograhic Characteristics,Education,Population,census data,demographic characteristics,population,Population & Demography,"Gateway/Portal to 2000 US Census data, including population, housing, economic, and geographic data. Also includes American Community Survey, Population Estimates, Economic Census and Annual Economic Surveys."
dataServices004,DataServices,American Federation of Teachers Salary Survey,http://www.aft.org/yourwork/teachers/reports/salarybystate07.cfm,Education,Salaries,,,,,Education,"AFT statistics are gathered from an annual Teacher Salary Survey and include the ""Survey and Analysis of Teacher Salary Trends"" and the ""AFT Public Employees Compensation Survey."" Reports are in .pdf format."
dataServices005,DataServices,American National Election Studies (ANES),http://www.electionstudies.org/,Politics,,,voting behavior,public opinion,public policy,Policy & Political Science,"The American National Election Studies (ANES) produces high quality data on voting, public opinion, and political participation to serve the research needs of social scientists, teachers, students, policy makers and journalists who want to better understand the theoretical and empirical foundations of national election outcomes."
dataServices006,DataServices,Association of Religion Data Archive (ARDA),http://www.thearda.com/,Religion,,,religion,religious attitudes,religious affiliation,Philosophy & Religion,"The ARDA Data Archive is a collection of surveys, polls, and other data submitted by researchers, and includes nearly 400 data files. Currently housed in the Social Science Research Institute at the Pennsylvania State University, the ARDA is funded by the Lilly Endowment, the John Templeton Foundation, and the Pennsylvania State University. Includes National Profiles, U.S. Denominations, and GIS Maps and Reports regarding religion."
dataServices007,DataServices,IMF Balance of Payment Statistics,https://arch.library.nyu.edu/databases/proxy/NYU02532,International Marketing,Nation Data,Trade,,,,Business & Economics (Intl),International Monetary Fund trade statistics.
dataServices008,DataServices,IMF Direction of Trade Statistics,https://arch.library.nyu.edu/databases/proxy/NYU02533,Trade,International,,,,,Business & Economics (Intl),International Monetary Fund trade statistics.
dataServices009,DataServices,Behavioral Risk Factor Surveillance System,http://www.cdc.gov/brfss/,Health,Healthcare,,,,,"Health, Nursing & Nutrition","The BFRSS is a state-based system of health surveys that generates information about health risk behaviors, clinical preventative practices, and health care access and use primarily related to chronic diseases and injury.  States use standardized procedures to collect data through monthly telephone interviews."
dataServices010,DataServices,Bloomberg,,Financial Markets,Economic Indicators,Company Info,Securities,Finance,,Business & Economics (US),"Provides analysis and quotes for equities and indices around the globe, current company, industry and market news, and economic data for the countries of the world. **This resource is only accessible in Bobst Library. To use this resource, stop by the 5th floor Reference Center."
dataServices011,DataServices,Bureau of Justice Statistics,http://www.ojp.usdoj.gov/bjs/,Offenses,Criminal Justice,,,,,Policy & Political Science,"Statistics related to crimes, victims, law enforcement, and criminal justice in the United States."
dataServices012,DataServices,Bureau of Labor Statistics,http://www.bls.gov/,Labor,Employment,,,,,Policy & Political Science,"Data related to employment, unemployment, wages, consumer and business spending, occupations, safety, and health in the United States."
dataServices013,DataServices,Bureau of Transportation Statistics,http://www.bts.gov,Transportation,Airline,Freight,,,,Population & Demography,"Information and data related to the transportation industry, including household-level data; includes transportation economics, freight data, border crossing-data, and commodities transported."
dataServices014,DataServices,Bytes of the Big Apple,http://www.nyc.gov/html/dcp/html/bytes/applbyte.shtml,GIS,,,,,,Geographic Information Systems,"BYTES of the BIG APPLE is a family of software, data and geographic base map files for the City of New York. The Department of City Planning offers these products for free download or by a license agreement."
dataServices015,DataServices,Cambridge Structural Database,https://ezproxy.library.nyu.edu/login?url=http://library.nyu.edu/beta/collections/standalone.html,Crystallography,,,,,,Science & Technology,"The world repository of small molecule crystal structures. The Cambridge Structural Database (CSD) is the principal product of the Cambridge Crystallographic Data Centre. It is the central focus of the CSD System, which also comprises software for database access, structure visualisation and data analysis, and structural knowledge bases derived from the CSD."
dataServices016,DataServices,CDC Syndromic Surveillance Page,http://www.cdc.gov/epo/dphsi/syndromic.htm,Health,,,,,,"Health, Nursing & Nutrition","Syndromic surveillance involves the monitoring of routine public health data for evidence of potential health outbreaks. This is particularly critical for determining whether an act of bioterrorism has occurred. This web page provides a framework for the evaluation of public health surveillance programs, definitions for identifying the syndromes associated with bioterrorism incidents, and an annotated bibliography about syndromic surveillance."
dataServices019,DataServices,Center for International Development and Conflict Management (U. of Maryland),http://www.cidcm.umd.edu/,Minorities,Political Conflict,,,,,Area & Cultural Studies,"Several large data collection projects reside at CIDCM, providing a broad foundation for much of the center's research. The International Crisis Behavior project gathers data on all international crises since the end of World War I. The Minorities at Risk project monitors the status of politically-active communal groups around the world. Peace and Conflict 2008 provides key analyses about trends in armed conflict, democratization, and instability worldwide."
dataServices020,DataServices,Centers for Disease Control,http://www.cdc.gov,Health,,,,,,"Health, Nursing & Nutrition","Data related to birth, death, aging, health, disease, marriage in the United States. "
dataServices021,DataServices,Child Care and Early Education Research Connections,http://www.childcareresearch.org/childcare/data.jsp,Education,Children,Poverty,,,,Education,"A comprehensive, up-to-date, and easy-to-use collection of more than 10,000 resources from the many disciplines related to child care and early education."
dataServices022,DataServices,Children's Defense Fund,http://www.childrensdefense.org/site/PageServer?pagename=research,Population,,,,,,Population & Demography,"Longitudinal and cross-sectional data on a variety of issues of importance to researchers interested in the social conditions of children and families including children and gun violence, poverty, childcare, joblessness, grandparents raising grandchildren, and some statistical information on ""No Child Left Behind."""
dataServices023,DataServices,China Data Online,https://arch.library.nyu.edu/databases/proxy/NYU02238,Demographics,Census Data,,Demographics,Census Data,Economic Indicators,Business & Economics (Intl),"Comprehensive database Web site focusing on economic statistics of China, arranged by regions and categories. Includes monthly and yearly reports on China's macroeconomic development, statistical databases about China's population and economy at the county and city level, and financial indicators of more than 568 industrial branches. Also includes statistical yearbooks, census data, industrial and marketing surveys, and an atlas of China."
dataServices024,DataServices,Common Core of Data,http://nces.ed.gov/ccd/index.asp,Education,,,,,,Education,"The Common Core of Data (CCD) is a program that annually collects fiscal and non-fiscal data about all public schools, public school districts, and state education agencies. The data include contact information for agencies as well as descriptive information about students and staff and fiscal data."
dataServices025,DataServices,Center for Applied Research and Environmental Systems,http://www.cares.missouri.edu/,Health,Economic Indicators,Human Services,,,,"Health, Nursing & Nutrition","CARES' mission is to link public information and spatial dynamics for timely policy decision-support, through interactive visualization and spatial analysis. In 2008, CARES merged with the former Community Information Resource Center (CIRC) and Rural Policy Research Institute (RUPRI)."
dataServices026,DataServices,Comparative Indicators of Education in the United States and Other G8 Countries,http://nces.ed.gov/pubsearch/pubsinfo.asp?pubid=2005021,Education,International Education,,,,,Education,"This report shows how the U.S. education system compares to other major industrialized countries (Canada, France, Germany, Italy, Japan, Russian Federation, United Kingdom) in four areas: (1) the context of education; (2) preprimary and primary education; (3) secondary education; and (4) higher education. This report is an update of the 2002 G8 Report, and is part of a series to be published in alternate years. Available in .pdf format."
dataServices027,DataServices,UN Comtrade,http://comtrade.un.org/,Trade,,,International Trade,,,Business & Economics (Intl),"Every year over 130 countries provide the United Nations Statistics Division with their annual international trade statistics, detailed by commodity and partner country. These data are processed into a standard format with consistent coding and valuation. All values are converted into US dollars using exchange rates supplied by the countries, or derived from monthly market rates and volume of trade."
