guid,nyu.libraries.collection,dc.title,dc.identifier,dc.source,dc.language,dc.extent,dc.extent,dc.coverage.temporal,dc.coverage.temporal,dc.accrualPeriodicity,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.jurisdiction
aggregatedNewspapers1,AggregatedNewspapers,"100 Mile House Free Press",,"Access World News","English",,"Full-text: electronic edition of record of publication",05/26/2004,,,,,,,
aggregatedNewspapers2,AggregatedNewspapers,"1590 Broadcaster",,"Access World News",,,,05/01/2002,,,,,,,
aggregatedNewspapers3,AggregatedNewspapers,"50 Plus Lifestyles",,"Access World News",,,,07/01/1999,,,,,,,
aggregatedNewspapers4,AggregatedNewspapers,"AAP News",,"Access World News",,"FT-AIW","Full-text: selected articles",07/01/2004,,,,,,,
aggregatedNewspapers5,AggregatedNewspapers,"Abbotsford News, The",,"Access World News",,,"Full-text: electronic edition of record of publication",05/22/2004,,,,,,,
aggregatedNewspapers6,AggregatedNewspapers,"ABC web site",,"Access World News",,"BBC","Full-text: selected articles",12/16/2000,,,,,,,
aggregatedNewspapers7,AggregatedNewspapers,"Aberdeen American News",,"Access World News",,,,06/01/2001,,,,,,,
aggregatedNewspapers8,AggregatedNewspapers,"Aberdeen Press & Journal ",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",06/12/1999,,,,,,,
aggregatedNewspapers9,AggregatedNewspapers,"Abilene Reporter-News",,"Access World News",,,,12/12/2002,,,"Abilene","Texas","United States","North America",
aggregatedNewspapers10,AggregatedNewspapers,"Accountancy Age",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/07/2005,,,,,,,
aggregatedNewspapers11,AggregatedNewspapers,"Accountant, The",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",03/31/2005,,,,,,,
aggregatedNewspapers12,AggregatedNewspapers,"Adobe Press",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers13,AggregatedNewspapers,"Advance-News",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers14,AggregatedNewspapers,"Advertiser, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers15,AggregatedNewspapers,"Advertiser-News, The",,"Access World News",,,,07/31/2006,,,,,,,
aggregatedNewspapers16,AggregatedNewspapers,"Advocate, The",,"Access World News",,,,01/14/2005,,,,,,,
aggregatedNewspapers17,AggregatedNewspapers,"Advocate, The",,"Access World News",,,,01/01/1986,,,,,,,
aggregatedNewspapers18,AggregatedNewspapers,"Advocate, The",,"Access World News",,,,09/30/2002,,,,,,,
aggregatedNewspapers19,AggregatedNewspapers,"Aftonbladet",,"Access World News",,"BBC","Full-text: selected articles",10/01/2002,,,,,,,
aggregatedNewspapers20,AggregatedNewspapers,"Agassiz-Harrison Observer",,"Access World News",,,"Full-text: electronic edition of record of publication",05/26/2004,,,,,,,
aggregatedNewspapers21,AggregatedNewspapers,"Age, The/The Sunday Age",,"Access World News",,,"Full-text: electronic edition of record of publication",09/26/1999,,,,,,,
aggregatedNewspapers22,AggregatedNewspapers,"Agency France Press",,"Access World News",,,"Full-text: electronic edition of record of publication",02/06/2004,,,,,,,
aggregatedNewspapers23,AggregatedNewspapers,"Aggie Sports",,"Access World News",,,,06/24/2005,,,,,,,
aggregatedNewspapers24,AggregatedNewspapers,"Ajax Pickering News Advertiser",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers25,AggregatedNewspapers,"Akron Beacon Journal",,"Access World News",,,,01/01/1984,,,,,,,
aggregatedNewspapers26,AggregatedNewspapers,"Alameda Journal",,"Access World News",,,,11/02/2001,,,,,,,
aggregatedNewspapers27,AggregatedNewspapers,"Alameda Times-Star",,"Access World News",,,,09/15/2001,,,,,,,
aggregatedNewspapers28,AggregatedNewspapers,"Alamogordo Daily News",,"Access World News",,,,08/27/2004,,,,,,,
aggregatedNewspapers29,AggregatedNewspapers,"Albert & Logan News",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers30,AggregatedNewspapers,"Albuquerque Journal",,"Access World News",,,,01/01/1995,,,,,,,
aggregatedNewspapers31,AggregatedNewspapers,"Albuquerque Tribune, The",,"Access World News",,,,01/01/1997,,,,,,,
aggregatedNewspapers32,AggregatedNewspapers,"Aldergrove Star",,"Access World News",,,"Full-text: electronic edition of record of publication",05/20/2004,,,,,,,
aggregatedNewspapers33,AggregatedNewspapers,"Alexandria Daily Town Talk",,"Access World News",,,,03/29/1999,,,,,,,
aggregatedNewspapers34,AggregatedNewspapers,"Alliston Herald, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers35,AggregatedNewspapers,"Altus Times",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers36,AggregatedNewspapers,"Alvarado Post",,"Access World News",,,,01/04/2005,,,,,,,
aggregatedNewspapers37,AggregatedNewspapers,"Amarillo Globe-News",,"Access World News",,,,06/20/2002,,,,,,,
aggregatedNewspapers38,AggregatedNewspapers,"Analisa",,"Access World News",,"BBC","Full-text: selected articles",10/06/2000,,,,,,,
aggregatedNewspapers39,AggregatedNewspapers,"Ancaster News",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers40,AggregatedNewspapers,"Anchorage Daily News",,"Access World News",,,,10/01/1985,,,,,,,
aggregatedNewspapers41,AggregatedNewspapers,"Anderson Independent-Mail",,"Access World News",,,,04/01/2003,,,,,,,
aggregatedNewspapers42,AggregatedNewspapers,"Anderson Valley Post",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers43,AggregatedNewspapers,"Angleton Times, The",,"Access World News",,,,07/03/2002,03/27/2004,,,,,,
aggregatedNewspapers44,AggregatedNewspapers,"Ann Arbor News, The",,"Access World News",,,,07/01/2004,,,,,,,
aggregatedNewspapers45,AggregatedNewspapers,"Annapurna Post",,"Access World News",,"BBC","Full-text: selected articles",09/30/2003,,,,,,,
aggregatedNewspapers46,AggregatedNewspapers,"Annex Guardian",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers47,AggregatedNewspapers,"Anniston Star, The",,"Access World News",,,,05/18/1987,,,,,,,
aggregatedNewspapers48,AggregatedNewspapers,"ANSA News Agency database",,"Access World News",,"BBC","Full-text: selected articles",12/11/1997,,,,,,,
aggregatedNewspapers49,AggregatedNewspapers,"Anson Record, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers50,AggregatedNewspapers,"Antara News Agency",,"Access World News",,"BBC","Full-text: selected articles",05/14/1998,,,,,,,
aggregatedNewspapers51,AggregatedNewspapers,"Appeal-Democrat",,"Access World News",,,,10/25/2006,,,,,,,
aggregatedNewspapers52,AggregatedNewspapers,"Argus Leader, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers53,AggregatedNewspapers,"Argyle American, The",,"Access World News",,,,10/27/2006,,,,,,,
aggregatedNewspapers54,AggregatedNewspapers,"Arizona Daily Star, The",,"Access World News",,,,01/01/1991,,,,,,,
aggregatedNewspapers55,AggregatedNewspapers,"Arizona Daily Sun, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers56,AggregatedNewspapers,"Arizona Republic, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers57,AggregatedNewspapers,"Arlington Morning News",,"Access World News",,,,04/01/1996,01/12/2003,,,,,,
aggregatedNewspapers58,AggregatedNewspapers,"Arrow Lakes News",,"Access World News",,,"Full-text: electronic edition of record of publication",05/26/2004,,,,,,,
aggregatedNewspapers59,AggregatedNewspapers,"Arthur Enterprise News",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
