guid,nyu.libraries.collection,dc.title,dc.identifier,dc.subject.controlled,dc.description
vbl001,VBL,Statistical Insight,https://ezproxy.library.nyu.edu/login?url=http://www.lexis-nexis.com/statuniv,"Industry Information, Economic & Statistical Resources, Country Information,  Information","Statistical Insight provides fast and easy access to statistical information produced by U.S. Federal agencies, States, private organizations, and major intergovernmental organizations. "
vbl002,VBL,ABI/Inform,http://search.proquest.com/abicomplete/advanced?accountid=12768,Journals/Newspapers/Books,"ABI/Inform Dateline- Contains complete articles from hundreds of local and regional publications that chronicle the day-to-day operations of thousands of U.S. and Canadian companies. Important business trends and events as well as regional market and economic conditions also receive considerable coverage. Coverage dates: 1985 ñ present                                                                                                          ABI/INFORM Global Direct- Periodical database specializing in business literature, including full text of over 1920 of the 2890 ABI/Inform titles. All titles are indexed and abstracted. Also included in ProQuest are Newspapers and General Periodicals. Coverage varies from 1971 - present                                                               ABI/INFORM Trade & Industry - Search more than 1200 business periodicals and newsletters with a trade or industry focus. Provides users with the latest industry news, product and competitive information,  trends, and a wide variety of other topics. Contains publications on every major industry, including finance, insurance, transportation, construction, and many more. Coverage dates: 1971 - present"
vbl003,VBL,Access World News ,https://ezproxy.library.nyu.edu/login?url=http://infoweb.newsbank.com/?db=AWNB,Journals/Newspapers/Books,"Full-text content of over 2,200 North American newspapers and more than 1,200 international newspapers, plus 300 wire services and over 200 broadcast news transcripts. Covers local, regional, and world issues, politics, government policies, sports, industries, cultural activities, schools, and the people and events in the community"
vbl004,VBL,Accounting & Tax (ProQuest)  ,https://ezproxy.library.nyu.edu/login?url=http://proquest.umi.com/login?COPT=REJTPUcxK2ZiNys1JklOVD0wJlZFUj0y&clientId=9269,Journals/Newspapers/Books,"Provides access to top accounting journals and trade publications, reference reports, proceedings, and dissertations, etc. "
vbl005,VBL,Accunet AP Photo Archive  ,https://ezproxy.library.nyu.edu/login?url=http://accuweather.ap.org/cgi-bin/aplaunch.pl,Journals/Newspapers/Books,"The Accunet/AP Photo Archive contains approximately 700,000 photographs dating back to 1850; 800 additional images are added each day by photojournalists. Photographs of current events are available to view and print within minutes of an event. Also includes the International Photo Archive and a Euro/Asian Photo Archive"
vbl006,VBL,African Development Indicators (World Bank Group) ,https://ezproxy.library.nyu.edu/login?url=http://ddp-ext.worldbank.org/ext/DDPQQ/member.do?method=getMembers&userid=1&queryId=175,Country,"The most detailed collection of data on Africa, containing over 1,600 indicators, covering 53 African countries and spanning the period 1961 to 2008. Data include social, economic, financial, natural resources, infrastructure, governance, partnership, and environmental indicators. Data are drawn from World Development Indicators, and other sources. "
vbl007,VBL,Alternative Press Index  ,https://arch.library.nyu.edu/databases/proxy/NYU03657,Journals/Newspapers/E-Books,"The Alternative Press Center (APC) is a non-profit collective dedicated to providing access to and increasing public awareness of the alternative press. Founded in 1969, it remains one of the oldest self-sustaining alternative media institutions in the United States. For more than a quarter of a century, the Alternative Press Index has been recognized as a leading guide to the alternative press in the United States and around the world."
vbl008,VBL,AmericanFactFinder (AFF),http://factfinder.census.gov/home/saff/main.html?_lang=en,Economic & Statistical Information,"is an online source for population, housing, economic and geographic data that presents the results from four key data programs: Decennial Census of Housing and Population - 1990 and 2000, Economic Census 1997 and 2002, American Community Survey - 1996-present, Population Estimates Program - July 1, 2003-present
Annual Review "
vbl009,VBL,Annual Review,http://arch.library.nyu.edu/databases/proxy/NYU00418,Journals/Newspapers/E-Books,"Since 1932, Annual Reviews has offered comprehensive, timely collections of critical reviews
written by leading scientists. Annual Reviews volumes are published each year for 40 focused
disciplines within the Biomedical, Life, Physical, and Social Sciences including Economics."
vbl010,VBL,Balance of Payments Statistics (IMF) ,https://arch.library.nyu.edu/databases/proxy/NYU02532,Economic & Statistical Information,"Provides information on the balance of payments among countries and geographical areas of the world. Contains approximately 100,000 time series covering more than 170 countries and areas and includes all series appearing on the BOP Country Pages.
Bernan Essential Government Information  "
vbl011,VBL,Bernan Essential Government Information  ,https://ezproxy.library.nyu.edu/login?url=http://gii.bernan.com,Economic & Statistical Information,"Bernan is a leading distributor of essential publications from the United States government and intergovernmental organizations, and a respected publisher of critically acclaimed reference works based on government data."
vbl012,VBL,Bloomberg (Terminal located on the 5th Floor/Bobst Library) ,http://library.nyu.edu/collections/standalone,Company & Financial Information,"Online database providing current and historical financial quotes, business newswires, and descriptive information, research and statistics on over 52,000 companies worldwide."
vbl013,VBL,Business & Company Resource Center ,http://arch.library.nyu.edu/databases/proxy/NYU02314,Company & Financial Information,"Business & Company Resource Center brings together a variety of global business information. Resources in the database include: Company profiles (including corporate parent/sibling relationships), Industry ranking, Products and brands, Stock prices, Investment reports, Industry statistics, Corporate chronologies and histories, Consumer  data, Emerging technology reports, Industry newsletter news and analysis, and Business journal news and analysis."
vbl014,VBL,Business Full Text ,http://arch.library.nyu.edu/databases/proxy/NYU01397,Journals/Newspapers/E-Books,"Wilson Business Full Text is a full text database that indexes and abstracts articles from English-language periodicals published in the United States and elsewhere, including the leading business magazines and trade and research journals, plus the full text of selected periodicals. With Quality abstracting and indexing of more than 850 publications, users will find feature articles, product reviews, interviews, biographical sketches, corporate profiles, obituaries, surveys, book reviews, reports from associations, societies, trade shows and conferences, and more."
vbl015,VBL,Business Insights (formerly Reuters Business Insight)  ,https://arch.library.nyu.edu/databases/proxy/NYU02506,"Industry Information,  Information","Market analysis reports across eight markets; eCommerce, Technology, Telecommunications, Financial Services, Healthcare, Consumer Goods, Energy and Human Resources."
vbl016,VBL,Business Monitor Online  ,https://ezproxy.library.nyu.edu/login?url=http://www.businessmonitor.com/enter,Industry Information,"Provides extensive industry, economic, political, risk, and financial market analysis and data for about 175 countries. Especially useful for emerging economies."
